230907 15:20:44:242 [INFO] (PlanarRegionMappingHandler.java:290): [159] Statistics: Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.022, Area: 2.212, Regions: 8, Vertices: 805
230907 15:20:44:372 [INFO] (PlanarRegionMappingHandler.java:290): [160] Statistics: Extraction Time: 0.017, Merging Time: 0.006, Registration Time: 0.001, Optimization Time: 0.005, Total Time: 0.029, Area: 2.212, Regions: 8, Vertices: 803
230907 15:20:44:499 [INFO] (PlanarRegionMappingHandler.java:290): [161] Statistics: Extraction Time: 0.014, Merging Time: 0.007, Registration Time: 0.001, Optimization Time: 0.004, Total Time: 0.026, Area: 2.228, Regions: 8, Vertices: 824
230907 15:20:44:623 [INFO] (PlanarRegionMappingHandler.java:290): [162] Statistics: Extraction Time: 0.015, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 2.278, Regions: 9, Vertices: 847
230907 15:20:44:753 [INFO] (PlanarRegionMappingHandler.java:290): [163] Statistics: Extraction Time: 0.020, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.028, Area: 2.297, Regions: 9, Vertices: 862
230907 15:20:44:880 [INFO] (PlanarRegionMappingHandler.java:290): [164] Statistics: Extraction Time: 0.016, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.004, Total Time: 0.026, Area: 2.309, Regions: 9, Vertices: 864
230907 15:20:45:008 [INFO] (PlanarRegionMappingHandler.java:290): [165] Statistics: Extraction Time: 0.016, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.004, Total Time: 0.027, Area: 2.348, Regions: 9, Vertices: 912
230907 15:20:45:134 [INFO] (PlanarRegionMappingHandler.java:290): [166] Statistics: Extraction Time: 0.014, Merging Time: 0.008, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.024, Area: 2.364, Regions: 9, Vertices: 908
230907 15:20:45:261 [INFO] (PlanarRegionMappingHandler.java:290): [167] Statistics: Extraction Time: 0.019, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.026, Area: 2.386, Regions: 9, Vertices: 921
230907 15:20:45:391 [INFO] (PlanarRegionMappingHandler.java:290): [168] Statistics: Extraction Time: 0.021, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.028, Area: 2.443, Regions: 10, Vertices: 968
230907 15:20:45:521 [INFO] (PlanarRegionMappingHandler.java:290): [169] Statistics: Extraction Time: 0.021, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.029, Area: 2.468, Regions: 10, Vertices: 965
230907 15:20:45:650 [INFO] (PlanarRegionMappingHandler.java:290): [170] Statistics: Extraction Time: 0.015, Merging Time: 0.009, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.027, Area: 2.725, Regions: 10, Vertices: 1124
230907 15:20:45:775 [INFO] (PlanarRegionMappingHandler.java:290): [171] Statistics: Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.004, Total Time: 0.024, Area: 2.006, Regions: 10, Vertices: 773
230907 15:20:45:915 [INFO] (PlanarRegionMappingHandler.java:290): [172] Statistics: Extraction Time: 0.027, Merging Time: 0.006, Registration Time: 0.001, Optimization Time: 0.004, Total Time: 0.038, Area: 2.038, Regions: 10, Vertices: 805
230907 15:20:46:041 [INFO] (PlanarRegionMappingHandler.java:290): [173] Statistics: Extraction Time: 0.017, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.004, Total Time: 0.025, Area: 2.055, Regions: 10, Vertices: 829
230907 15:20:46:170 [INFO] (PlanarRegionMappingHandler.java:290): [174] Statistics: Extraction Time: 0.021, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.002, Total Time: 0.027, Area: 2.068, Regions: 10, Vertices: 848
230907 15:20:46:294 [INFO] (PlanarRegionMappingHandler.java:290): [175] Statistics: Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 2.085, Regions: 10, Vertices: 834
230907 15:20:46:421 [INFO] (PlanarRegionMappingHandler.java:290): [176] Statistics: Extraction Time: 0.017, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.004, Total Time: 0.026, Area: 2.133, Regions: 11, Vertices: 870
230907 15:20:46:544 [INFO] (PlanarRegionMappingHandler.java:290): [177] Statistics: Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 2.134, Regions: 11, Vertices: 893
230907 15:20:46:785 [INFO] (PlanarRegionMappingHandler.java:290): [179] Statistics: Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 2.152, Regions: 11, Vertices: 866
230907 15:20:47:255 [INFO] (PlanarRegionMappingHandler.java:290): [183] Statistics: Extraction Time: 0.013, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.019, Area: 2.177, Regions: 11, Vertices: 875
230907 15:20:47:605 [INFO] (PlanarRegionMappingHandler.java:290): [186] Statistics: Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.021, Area: 2.200, Regions: 11, Vertices: 871
230907 15:20:47:842 [INFO] (PlanarRegionMappingHandler.java:290): [188] Statistics: Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 2.206, Regions: 11, Vertices: 899
230907 15:20:47:960 [INFO] (PlanarRegionMappingHandler.java:290): [189] Statistics: Extraction Time: 0.012, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 2.208, Regions: 11, Vertices: 890
230907 15:20:48:083 [INFO] (PlanarRegionMappingHandler.java:290): [190] Statistics: Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 2.210, Regions: 11, Vertices: 901
230907 15:20:48:210 [INFO] (PlanarRegionMappingHandler.java:290): [191] Statistics: Extraction Time: 0.018, Merging Time: 0.006, Registration Time: 0.001, Optimization Time: 0.002, Total Time: 0.026, Area: 2.219, Regions: 11, Vertices: 890
230907 15:20:48:334 [INFO] (PlanarRegionMappingHandler.java:290): [192] Statistics: Extraction Time: 0.017, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.023, Area: 2.221, Regions: 11, Vertices: 892
230907 15:20:48:460 [INFO] (PlanarRegionMappingHandler.java:290): [193] Statistics: Extraction Time: 0.019, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.024, Area: 2.269, Regions: 12, Vertices: 913
