Extraction Time: 0.014, Merging Time: 0.008, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.025, Area: 2.148, Regions: 9, Vertices: 1018
Extraction Time: 0.010, Merging Time: 0.008, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.021, Area: 2.148, Regions: 9, Vertices: 1018
Extraction Time: 0.014, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.023, Area: 2.176, Regions: 9, Vertices: 1051
Extraction Time: 0.014, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.022, Area: 2.176, Regions: 9, Vertices: 1051
Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 2.183, Regions: 9, Vertices: 1041
Extraction Time: 0.010, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 2.183, Regions: 9, Vertices: 1041
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 2.183, Regions: 9, Vertices: 1041
Extraction Time: 0.009, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.017, Area: 2.188, Regions: 9, Vertices: 1042
Extraction Time: 0.016, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.024, Area: 2.188, Regions: 9, Vertices: 1042
Extraction Time: 0.011, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 2.194, Regions: 9, Vertices: 1048
Extraction Time: 0.015, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 2.194, Regions: 9, Vertices: 1048
Extraction Time: 0.010, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.017, Area: 2.201, Regions: 9, Vertices: 1044
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.021, Area: 2.201, Regions: 9, Vertices: 1044
Extraction Time: 0.010, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.016, Area: 2.210, Regions: 9, Vertices: 1047
Extraction Time: 0.012, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 2.212, Regions: 9, Vertices: 1048
Extraction Time: 0.011, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.016, Area: 2.215, Regions: 9, Vertices: 1058
Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.021, Area: 2.222, Regions: 9, Vertices: 1049
Extraction Time: 0.011, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 2.225, Regions: 9, Vertices: 1068
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 2.231, Regions: 9, Vertices: 1052
Extraction Time: 0.010, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.019, Area: 2.235, Regions: 9, Vertices: 1059
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 2.249, Regions: 9, Vertices: 1039
